,0
authority,CTDzGWYTSw2dm9dLxnyV8tg7oCYkm2MyBRZDUAAtcvS
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1249248000
taker_volume30d,1308898552
filler_volume30d,0
last_maker_volume30d_ts,1673659131
last_taker_volume30d_ts,1673659710
last_filler_volume30d_ts,1673659030
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1308910
userfees.total_fee_rebate,249849
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
