,0
authority,Cp8az4m263nsA1ThWXsip4P2C9g9NxxjoZMakgkWD7bt
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,58340387687
taker_volume30d,1561592000519
filler_volume30d,0
last_maker_volume30d_ts,1672265063
last_taker_volume30d_ts,1672265086
last_filler_volume30d_ts,1671968132
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1591837176
userfees.total_fee_rebate,12427156
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
