,0
authority,Cswwnzi6Pk5qfajxjsQCdgM7dgfvNTjesPhsGX6LmYsZ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,698372495
taker_volume30d,139481531949
filler_volume30d,0
last_maker_volume30d_ts,1672645712
last_taker_volume30d_ts,1675744170
last_filler_volume30d_ts,1671647078
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,205522603
userfees.total_fee_rebate,144395
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
