,0
authority,CuP5X3SN8cnyHzNL5XEJRRaYhzEvUP35aF17jazsiy1W
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,68391074
taker_volume30d,16310253134
filler_volume30d,0
last_maker_volume30d_ts,1674895077
last_taker_volume30d_ts,1675110773
last_filler_volume30d_ts,1667602497
if_staked_quote_asset_amount,0
number_of_sub_accounts,3
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,30136635
userfees.total_fee_rebate,21676
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
