,0
authority,D3mDLZUSAgAa6EkxPXKqiS9Qc83f7xkzpzc4QNKsNMEP
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,141768000
taker_volume30d,6781384372
filler_volume30d,0
last_maker_volume30d_ts,1673626104
last_taker_volume30d_ts,1673635448
last_filler_volume30d_ts,1673544522
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,6817014
userfees.total_fee_rebate,28353
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
