,0
authority,D4J6zE5tmZXSjU22mZBATT8192n4bhbuNvZwXskQaRhx
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,6377127618
taker_volume30d,102868815564
filler_volume30d,0
last_maker_volume30d_ts,1680321576
last_taker_volume30d_ts,1680366167
last_filler_volume30d_ts,1678880898
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,112564175
userfees.total_fee_rebate,1504419
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
