,0
authority,DELTAzUe6S8ewsLyqtuAkiKGZed9HpZHDAsUuMjaRAq2
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,740120009
taker_volume30d,1165886764
filler_volume30d,264626980631
last_maker_volume30d_ts,1677514594
last_taker_volume30d_ts,1677607403
last_filler_volume30d_ts,1678014594
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1005715
userfees.total_fee_rebate,148137
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
