,0
authority,DYqdjjx7PHxaHWTv6QC98aYZPDopJsTwfzaydLHGPn2
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,61329079
taker_volume30d,234104716
filler_volume30d,0
last_maker_volume30d_ts,1675725016
last_taker_volume30d_ts,1676248567
last_filler_volume30d_ts,1672939545
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,745114
userfees.total_fee_rebate,20495
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
