,0
authority,DeJTmLAgHMBjmg7D2f1W9iac9PPNgM8gnt29i6fCB3FC
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,147147000
taker_volume30d,26138887596
filler_volume30d,0
last_maker_volume30d_ts,1672367787
last_taker_volume30d_ts,1681215274
last_filler_volume30d_ts,1672367581
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,101635316
userfees.total_fee_rebate,29429
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
