,0
authority,Djcdrf8Px6v776EirCUBVADmVcoqwh6bmZ6KosmEXG4u
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,502904051
taker_volume30d,34701467401
filler_volume30d,0
last_maker_volume30d_ts,1681284099
last_taker_volume30d_ts,1681284014
last_filler_volume30d_ts,1680005411
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,43392474
userfees.total_fee_rebate,143581
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
