,0
authority,DogQDdqwFPidxfWGW8G9LryUAHkuE633AftW1h322FMq
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,7930870931
taker_volume30d,12867494520
filler_volume30d,0
last_maker_volume30d_ts,1675666811
last_taker_volume30d_ts,1681260065
last_filler_volume30d_ts,1671244051
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,72933492
userfees.total_fee_rebate,2609284
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
