,0
authority,DsYZfK2vCCg13NHGudWQUqoZvbK2ccZn1QWDvA9rTzhL
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,19393254826
taker_volume30d,0
filler_volume30d,0
last_maker_volume30d_ts,1672888752
last_taker_volume30d_ts,1672728717
last_filler_volume30d_ts,1672728717
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,0
userfees.total_fee_rebate,3967134
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
