,0
authority,DwxbXLrv3sgMtdR5C9ZL9sywtqvtzHo29dB1cxL6rJjA
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,13923993
filler_volume30d,0
last_maker_volume30d_ts,1675805252
last_taker_volume30d_ts,1675872961
last_filler_volume30d_ts,1675805252
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,13986
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
