,0
authority,E1iarpn1vw2p7Xe9D7zC49mVN6mXHgV8aK2MhS3LfVkX
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,133535885772
filler_volume30d,0
last_maker_volume30d_ts,1671887634
last_taker_volume30d_ts,1673702464
last_filler_volume30d_ts,1671887634
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,153152321
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
