,0
authority,E5Rm1TG1GAcpTN5K1MXHU6doFaF8HUCowqibGoLZ6mb3
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1298606306
taker_volume30d,1417277182
filler_volume30d,0
last_maker_volume30d_ts,1673219978
last_taker_volume30d_ts,1672575296
last_filler_volume30d_ts,1668732530
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,2412934
userfees.total_fee_rebate,330912
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
