,0
authority,E87sqfVAYenrghs1aPbUinA7khD2Peb1kjjgv1RJpzfe
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1597546592
taker_volume30d,12984006783
filler_volume30d,0
last_maker_volume30d_ts,1679020950
last_taker_volume30d_ts,1681146456
last_filler_volume30d_ts,1671346772
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,22085094
userfees.total_fee_rebate,345554
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
