,0
authority,EEi3tLvkv7fpiR8j2xT15XgYzjqUz6rUBUfDtYHVxNCY
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,250105734
taker_volume30d,12877063466
filler_volume30d,0
last_maker_volume30d_ts,1675172198
last_taker_volume30d_ts,1677570409
last_filler_volume30d_ts,1675025048
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,17536743
userfees.total_fee_rebate,50024
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
