,0
authority,ERakbwrmyKCP6ThX33MiADQdqSZ3Y4YbsqUByWiuSdap
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,10741607031
taker_volume30d,4748876351
filler_volume30d,0
last_maker_volume30d_ts,1680989609
last_taker_volume30d_ts,1680989525
last_filler_volume30d_ts,1680540510
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,3742229
userfees.total_fee_rebate,2325041
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
