,0
authority,EV7BjqDu9oeAME7GGwEuzUanYPKtdKQA1NuWkLSva6xQ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,383808473
taker_volume30d,845908100
filler_volume30d,0
last_maker_volume30d_ts,1675085372
last_taker_volume30d_ts,1675099573
last_filler_volume30d_ts,1667913173
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,2933035
userfees.total_fee_rebate,164473
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
