,0
authority,Efo6WmPvCJTFFrqEfrYx3kELyNURbxM8ca8JuvY73Pkg
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,244959623
taker_volume30d,2220239418
filler_volume30d,0
last_maker_volume30d_ts,1679304159
last_taker_volume30d_ts,1680874326
last_filler_volume30d_ts,1670348686
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,4916695
userfees.total_fee_rebate,60414
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
