,0
authority,EiNeew8mLH7x5CR4HFNhMRRuynyDbNfm7zzahpR6G8K2
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,126887887
taker_volume30d,3346753465
filler_volume30d,0
last_maker_volume30d_ts,1673377094
last_taker_volume30d_ts,1675970294
last_filler_volume30d_ts,1668356530
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,10262044
userfees.total_fee_rebate,33755
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
