,0
authority,Ekci8spCgfa3QovxnFhhHVxUj8zcq56LYNcnnudtupF1
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,19290231619
taker_volume30d,90443275728
filler_volume30d,0
last_maker_volume30d_ts,1673987008
last_taker_volume30d_ts,1674075279
last_filler_volume30d_ts,1671939981
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,106218754
userfees.total_fee_rebate,4276685
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
