,0
authority,En5opU25LPm6GrHWLa3osBuPTSg3QyUg5EM1RR9sgfLn
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1804893414
taker_volume30d,24079291
filler_volume30d,0
last_maker_volume30d_ts,1673659289
last_taker_volume30d_ts,1673812945
last_filler_volume30d_ts,1671464379
if_staked_quote_asset_amount,99998
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,30599
userfees.total_fee_rebate,366299
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
