,0
authority,EvozbZiHmAT3EgUrb2ETee8U5a9nXp41mKi3KX2BXKjy
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,152960673
taker_volume30d,250392471
filler_volume30d,0
last_maker_volume30d_ts,1674294155
last_taker_volume30d_ts,1673867956
last_filler_volume30d_ts,1672876285
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,259540
userfees.total_fee_rebate,30589
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
