,0
authority,F8EoQd3exaj9Fdiez1L85LqpU5aXH5wNQQS7PQsUsPL9
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,278377316
taker_volume30d,1396896996
filler_volume30d,0
last_maker_volume30d_ts,1670589686
last_taker_volume30d_ts,1672655087
last_filler_volume30d_ts,1670586236
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,2522972
userfees.total_fee_rebate,55665
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
