,0
authority,FPqZPuc1dJcepaec4qyghHVQZbQSXHRWnFEQgcuUjKgi
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,28185072
taker_volume30d,29117475882
filler_volume30d,0
last_maker_volume30d_ts,1680246382
last_taker_volume30d_ts,1680249910
last_filler_volume30d_ts,1678603484
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,25466915
userfees.total_fee_rebate,5652
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
