,0
authority,FQ2Ht4SEHnXoPtHPjrgF6TkVZcyAfEBzRdxsbdBQ3Gjw
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,5305506303
taker_volume30d,103365438569
filler_volume30d,0
last_maker_volume30d_ts,1672602005
last_taker_volume30d_ts,1672602009
last_filler_volume30d_ts,1672329351
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,91836218
userfees.total_fee_rebate,1080208
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
