,0
authority,FRX2QB33XRWuQfR6Ehb4YWWW6ihurNNDqYhL12XvzeKG
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,9181695394
filler_volume30d,0
last_maker_volume30d_ts,1673648117
last_taker_volume30d_ts,1677253798
last_filler_volume30d_ts,1673648117
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,20884900
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
