,0
authority,G1H6KRQSaktYN2FDhWmMwPBeaC1K7r9J3FY4K1pJyuzm
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,10656057341
filler_volume30d,0
last_maker_volume30d_ts,1678266044
last_taker_volume30d_ts,1678267885
last_filler_volume30d_ts,1678266044
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,10659803
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
