,0
authority,G8jCBbZSwEKogYTWwQSPhJuMww5zzcuMa8mfiHPip1ys
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,23500000
taker_volume30d,173635293
filler_volume30d,0
last_maker_volume30d_ts,1675280329
last_taker_volume30d_ts,1675539990
last_filler_volume30d_ts,1674338333
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,212359
userfees.total_fee_rebate,4700
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
