,0
authority,GontTwDeBduvbW85oHyC8A7GekuT8X1NkZHDDdUWWvsV
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,262961806133
taker_volume30d,187844270508
filler_volume30d,33801149811437
last_maker_volume30d_ts,1681173660
last_taker_volume30d_ts,1681176184
last_filler_volume30d_ts,1681176535
if_staked_quote_asset_amount,1011547919
number_of_sub_accounts,7
number_of_sub_accounts_created,7
is_referrer,False
userfees.total_fee_paid,630775132
userfees.total_fee_rebate,26721770
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
