,0
authority,GzeVfUCioxWcu6iBonnNwkNbBZXaKQtWvgiuK6mD8fnh
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,17495530
taker_volume30d,1698666478
filler_volume30d,0
last_maker_volume30d_ts,1672949073
last_taker_volume30d_ts,1672949085
last_filler_volume30d_ts,1672948572
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1698851
userfees.total_fee_rebate,3499
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
