,0
authority,H8XHkk1yV2bFKuAQ5C6yLHycsgb6ex59g8kusH6XgwRm
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,23840000
taker_volume30d,127881840
filler_volume30d,0
last_maker_volume30d_ts,1671719606
last_taker_volume30d_ts,1671760014
last_filler_volume30d_ts,1671589448
if_staked_quote_asset_amount,0
number_of_sub_accounts,3
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,132645
userfees.total_fee_rebate,4768
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
