,0
authority,HNPLJE3gNor6TYRgjd4vk2rZYDEgeAfNWvHn8PMNXVoB
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,121736388
taker_volume30d,25229267692
filler_volume30d,0
last_maker_volume30d_ts,1679660641
last_taker_volume30d_ts,1679680274
last_filler_volume30d_ts,1675955788
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,28818216
userfees.total_fee_rebate,24347
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
