,0
authority,HPVkxurXKioCF5AkgmzXxjLrZuXKFzBFd6UhNTNnnxvS
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,0
filler_volume30d,37961443381074
last_maker_volume30d_ts,1677426752
last_taker_volume30d_ts,1677426752
last_filler_volume30d_ts,1681227647
if_staked_quote_asset_amount,0
number_of_sub_accounts,7
number_of_sub_accounts_created,9
is_referrer,True
userfees.total_fee_paid,0
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
