,0
authority,HckMD9bE9DzU8eZ1rL1afVU15DYX6QiLzAxddzug7VxX
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2060799643
taker_volume30d,33376161671
filler_volume30d,0
last_maker_volume30d_ts,1677560947
last_taker_volume30d_ts,1677597385
last_filler_volume30d_ts,1677462914
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,34318395
userfees.total_fee_rebate,412160
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
