,0
authority,M89ZBbxVAu5Co7DUFu9H4vSeq8NfbjchR9hMbmw3spg
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,6585104696
taker_volume30d,280886846420
filler_volume30d,0
last_maker_volume30d_ts,1679512415
last_taker_volume30d_ts,1680296502
last_filler_volume30d_ts,1674967112
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,459859910
userfees.total_fee_rebate,2757211
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
