,0
authority,QMTZFSfVwtHbXXBpsjpU5j2VCEdU8vfjyYXwNbHCdiX
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,12478745412662
taker_volume30d,6204488797661
filler_volume30d,0
last_maker_volume30d_ts,1681238507
last_taker_volume30d_ts,1681238525
last_filler_volume30d_ts,1675708239
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,8605512879
userfees.total_fee_rebate,5932799656
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
