,0
authority,SAueccx6WsL4pujbfib14C6M1gPfikXBUSt16YRxFgv
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,78750000
taker_volume30d,287491615
filler_volume30d,0
last_maker_volume30d_ts,1673694683
last_taker_volume30d_ts,1673694277
last_filler_volume30d_ts,1673512238
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,296261
userfees.total_fee_rebate,15750
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
