,0
authority,authfDaMPRKpKAdeBfDLPaH1oVWEtkn4m4fUc2Svaxo
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1481756156
taker_volume30d,10323657976
filler_volume30d,0
last_maker_volume30d_ts,1680388157
last_taker_volume30d_ts,1681221519
last_filler_volume30d_ts,1678523035
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,36051535
userfees.total_fee_rebate,434982
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
