,0
authority,eKa6WDWU7yoXzM5jm376r9YjD6eDU9D6St2fTDWaoVW
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,9135240
taker_volume30d,598626269
filler_volume30d,0
last_maker_volume30d_ts,1674130455
last_taker_volume30d_ts,1674131115
last_filler_volume30d_ts,1674104115
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,600333
userfees.total_fee_rebate,1827
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
