,0
authority,pEYkqLvXXpezXRupUSTRuiXqPpAnAKd51cgakenGgXA
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,37949146
taker_volume30d,3069818295
filler_volume30d,0
last_maker_volume30d_ts,1671634716
last_taker_volume30d_ts,1672265371
last_filler_volume30d_ts,1671096074
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,3317420
userfees.total_fee_rebate,8022
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
