,0
authority,taytayopCMREJjXAAJP7GTFkqi55sDtNXAnBfPAvtU3
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,10895399499
taker_volume30d,11286465599
filler_volume30d,0
last_maker_volume30d_ts,1677889857
last_taker_volume30d_ts,1679680197
last_filler_volume30d_ts,1675900271
if_staked_quote_asset_amount,21011411
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,32562965
userfees.total_fee_rebate,3701274
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
