,0
authority,ug3hkhjeoTrGBLxPkPeW8xUJmWLM8nciDmwaJFSuWfA
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,10765577246
taker_volume30d,1419249891617
filler_volume30d,0
last_maker_volume30d_ts,1674201802
last_taker_volume30d_ts,1674202163
last_filler_volume30d_ts,1673689689
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1456374738
userfees.total_fee_rebate,2237388
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
